timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0
1578179337.917,-5.371,21.484,44.922,51.758,34.668,0
1578179337.921,1.953,20.508,39.062,60.059,10.254,0
1578179337.925,8.301,20.020,39.551,54.199,-25.879,0
1578179337.929,11.719,21.484,43.457,41.504,22.949,0
1578179337.933,27.344,17.578,38.086,43.945,57.129,0
1578179337.937,31.738,15.137,28.809,43.457,25.391,0
1578179337.941,-0.488,19.043,30.273,61.523,-41.504,0
1578179337.944,-5.859,15.625,35.156,59.570,-11.719,0
1578179337.948,3.906,11.719,32.715,42.969,80.078,0
1578179337.952,11.719,12.695,26.855,41.992,44.922,0
1578179337.956,20.020,17.090,31.738,59.570,1.953,0
1578179337.960,7.324,20.020,40.039,73.242,15.137,0
1578179337.962,20.508,20.020,41.504,48.340,65.430,0
1578179337.966,17.090,21.973,37.109,56.152,60.547,0
1578179337.970,-23.438,21.973,31.738,73.242,-0.488,0
1578179337.974,-19.531,20.508,31.738,57.617,13.672,0
1578179337.978,24.414,18.066,36.621,45.898,86.426,0
1578179337.982,41.992,18.066,33.691,53.711,70.312,0
1578179337.986,4.883,12.695,31.250,58.594,16.602,0
1578179337.989,-10.742,14.160,36.133,58.105,-13.184,0
1578179337.993,15.625,20.020,32.227,49.805,12.695,0
1578179337.997,29.297,16.602,37.109,51.270,70.801,0
1578179338.001,13.184,15.625,40.527,55.664,30.762,0
1578179338.005,13.184,14.648,35.156,55.664,-35.156,0
1578179338.007,64.941,3.906,44.434,60.059,7.324,0
1578179338.011,20.996,11.230,50.781,54.199,60.547,0
1578179338.015,-37.109,21.484,51.758,48.828,8.789,0
1578179338.019,-16.602,16.602,53.711,52.734,-30.273,0
1578179338.023,9.277,21.484,52.734,53.223,0.488,0
1578179338.027,29.785,22.949,50.781,42.480,45.898,0
1578179338.031,31.250,22.949,51.270,38.086,61.523,0
1578179338.034,-3.418,25.879,41.504,47.363,-17.578,0
1578179338.038,-13.184,26.367,41.016,49.805,-26.367,0
1578179338.042,7.324,25.879,58.594,44.434,39.062,0
1578179338.046,23.438,27.344,63.965,48.340,58.594,0
1578179338.050,35.156,25.879,51.270,49.316,7.812,0
1578179338.051,15.137,22.949,43.945,65.918,-56.152,0
1578179338.055,13.672,20.508,51.758,60.547,-17.578,0
1578179338.059,23.926,14.648,48.340,42.969,34.180,0
1578179338.063,22.461,18.555,42.969,53.223,26.367,0
