timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0
1578178699.248,16.602,29.785,6.348,48.340,15.625,0
1578178699.252,2.930,28.320,-2.441,41.992,-20.508,0
1578178699.254,-7.812,35.156,4.883,57.129,41.016,0
1578178699.258,9.277,24.414,1.465,62.988,43.945,0
1578178699.262,16.113,16.113,-4.883,59.570,5.371,0
1578178699.266,15.137,25.391,0.000,59.570,-32.227,0
1578178699.270,-2.441,30.762,14.648,61.035,-20.020,0
1578178699.274,2.930,21.484,20.996,61.035,55.176,0
1578178699.278,28.809,9.766,11.230,68.848,3.418,0
1578178699.281,16.113,8.301,16.602,60.059,-38.086,0
1578178699.285,-11.719,4.395,15.137,41.992,38.086,0
1578178699.289,-16.113,0.977,33.203,49.316,45.898,0
1578178699.293,11.719,4.395,36.133,52.734,-7.812,0
1578178699.297,17.578,1.953,7.324,52.734,-45.898,0
1578178699.299,-7.324,5.859,20.020,65.430,-28.809,0
1578178699.303,-7.812,14.160,35.156,57.129,-0.488,0
1578178699.307,4.883,4.883,23.926,44.922,-26.367,0
1578178699.311,32.715,-4.395,8.301,45.410,-21.973,0
1578178699.315,33.203,3.906,14.160,59.570,2.930,0
1578178699.319,-24.902,5.371,17.578,61.523,-24.414,0
1578178699.323,-16.113,9.766,22.949,52.734,6.836,0
1578178699.326,38.086,12.207,5.859,49.316,10.742,0
1578178699.330,24.902,16.113,0.000,41.504,-10.742,0
1578178699.334,0.000,22.949,31.738,44.434,85.938,0
1578178699.338,-10.742,24.414,31.250,53.223,102.539,0
1578178699.342,6.836,25.879,16.602,48.340,10.254,0
1578178699.344,28.809,17.578,6.836,53.223,0.977,0
1578178699.348,-2.930,12.695,13.672,59.570,-26.367,0
1578178699.352,-22.949,12.207,17.578,56.641,-41.992,0
1578178699.356,0.000,20.996,17.090,48.828,23.926,0
1578178699.360,8.789,27.832,15.137,51.270,44.434,0
1578178699.364,-9.277,13.672,12.695,45.898,18.555,0
1578178699.368,-26.855,16.113,33.691,39.551,57.617,0
1578178699.371,4.395,34.180,18.066,39.551,52.734,0
1578178699.375,36.133,37.598,16.113,42.480,0.977,0
1578178699.379,18.555,38.086,47.363,54.688,-10.254,0
1578178699.383,-8.301,28.320,40.527,61.035,29.297,0
1578178699.387,-2.930,35.156,34.668,64.941,46.875,0
1578178699.389,14.648,44.434,33.691,57.129,31.738,0
1578178699.393,15.137,30.762,24.414,53.223,19.531,0
1578178699.397,-0.488,25.879,28.320,50.293,42.480,0
1578178699.401,-2.441,30.762,39.062,38.574,31.250,0
1578178699.405,14.160,37.109,39.551,39.551,14.160,0
1578178699.409,33.691,31.738,21.484,48.828,33.691,1
1578178699.413,21.484,29.297,14.648,50.293,63.965,0
1578178699.416,1.953,36.621,18.066,53.711,56.152,0
1578178699.420,12.207,36.133,28.809,61.523,22.949,0
1578178699.424,35.645,33.203,11.230,47.363,13.184,0
1578178699.428,22.949,33.203,13.184,42.480,5.859,0
1578178699.432,-19.531,33.203,29.297,57.617,-4.395,0
1578178699.434,-8.789,35.645,24.414,54.199,28.320,0
1578178699.438,39.551,39.062,8.301,54.688,49.805,0
1578178699.442,31.250,42.969,5.371,65.918,46.875,0
1578178699.446,-5.859,47.852,22.949,73.242,114.746,0
1578178699.450,-3.418,48.340,11.719,54.199,114.746,0
1578178699.454,31.738,33.203,-19.531,40.039,7.812,0
1578178699.458,28.809,6.836,-38.574,36.133,-7.324,0
1578178699.461,1.953,10.254,-4.395,43.945,57.617,0
1578178699.465,-13.184,20.508,23.438,61.035,68.359,0
1578178699.469,4.883,12.207,-11.230,57.129,8.789,0
1578178699.473,21.484,9.277,-15.625,52.734,52.246,0
1578178699.477,19.531,13.184,-6.836,48.828,68.848,0
1578178699.494,14.648,22.949,-10.254,49.805,-30.762,0
1578178699.498,24.902,21.973,-23.438,47.363,12.695,0
1578178699.502,41.504,10.742,-39.551,43.457,16.602,0
1578178699.506,13.184,14.160,-18.066,58.594,7.812,0
1578178699.510,-19.043,17.090,-7.324,56.152,24.414,0
1578178699.514,-18.066,5.859,-34.668,40.527,78.125,0
1578178699.518,0.488,7.812,-43.945,43.457,131.836,0
1578178699.521,16.113,21.973,-12.207,50.293,43.945,0
1578178699.525,-20.508,20.508,3.906,40.039,19.531,0
1578178699.529,-12.207,24.414,-3.418,36.133,64.941,0
1578178699.533,34.180,20.508,-19.043,46.875,49.316,0
1578178699.537,34.180,8.789,-25.391,43.457,19.531,0
1578178699.539,7.324,21.973,-22.949,51.758,-20.996,0
1578178699.543,-16.113,17.090,-10.742,62.988,16.113,0
1578178699.547,8.789,8.789,-13.672,53.223,53.711,0
1578178699.551,29.297,21.484,-33.691,45.898,-28.320,0
1578178699.555,5.859,25.391,-28.809,50.781,-25.391,0
1578178699.559,-6.836,20.020,-21.484,56.641,48.340,0
1578178699.563,-2.441,11.230,-13.184,51.270,43.945,0
1578178699.566,14.160,6.348,-13.184,50.293,-25.391,0
1578178699.570,16.113,5.859,-16.602,51.758,-0.977,0
1578178699.574,3.418,2.441,-27.344,51.758,93.262,0
1578178699.578,15.137,5.371,-19.531,62.500,43.945,0
1578178699.582,31.738,8.789,-2.441,69.824,-22.461,0
1578178699.584,40.039,0.000,-14.160,63.477,7.812,0
1578178699.588,2.930,0.977,-4.395,61.523,53.711,0
1578178699.592,-20.508,3.906,7.812,56.641,90.820,0
1578178699.596,5.371,8.301,-7.324,55.176,37.598,0
1578178699.600,20.508,7.812,-22.461,59.082,16.602,0
1578178699.604,2.441,10.742,-14.648,64.453,44.922,0
1578178699.608,-0.488,11.719,0.977,68.359,15.625,0
1578178699.611,16.113,4.883,-9.277,59.570,-15.625,0
1578178699.615,50.293,5.371,-31.738,48.828,32.227,0
1578178699.619,44.434,7.812,-26.367,57.617,46.387,0
1578178699.623,3.418,19.531,12.695,69.824,31.250,0
1578178699.627,-8.301,33.691,11.230,52.734,63.965,0
1578178699.629,2.930,24.902,-8.301,44.434,89.355,0
1578178699.633,7.324,12.695,-6.348,47.363,133.301,0
1578178699.637,-14.160,6.836,5.859,50.781,58.105,0
1578178699.641,-10.254,-3.906,9.766,46.387,51.758,0
1578178699.645,27.832,-6.836,-1.465,36.621,74.707,0
1578178699.649,40.039,-1.465,-4.883,41.504,70.801,0
1578178699.653,-13.672,4.883,4.883,37.598,98.145,0
1578178699.656,-42.480,0.488,-0.488,31.738,25.391,0
1578178699.660,4.395,-0.488,-30.273,34.180,29.297,0
1578178699.664,30.273,13.672,-18.555,42.480,80.078,0
1578178699.668,-1.953,17.578,9.277,45.898,58.594,0
1578178699.672,-35.645,7.812,0.000,41.992,47.852,0
1578178699.674,-12.207,11.230,1.953,49.805,44.922,0
1578178699.678,23.926,17.090,12.207,55.664,81.055,0
1578178699.682,6.348,11.230,4.883,38.086,78.125,0
1578178699.686,-19.531,16.113,1.953,34.180,27.344,0
1578178699.690,-0.488,21.973,2.441,53.711,43.945,0
1578178699.694,27.344,16.113,-2.930,68.359,50.293,0
1578178699.698,9.277,19.043,-4.883,47.852,-8.789,0
1578178699.701,-12.695,25.879,-3.418,31.250,2.441,0
1578178699.705,-8.301,25.879,4.883,38.086,96.680,0
1578178699.709,8.789,27.344,21.973,49.805,47.852,0
1578178699.713,22.949,39.551,21.484,55.664,21.484,0
1578178699.717,17.090,41.504,20.020,51.758,57.129,0
1578178699.719,15.625,41.504,19.531,48.340,49.316,0
1578178699.723,24.414,47.363,10.742,49.805,26.855,0
1578178699.727,33.203,40.527,-1.465,50.781,-12.207,0
1578178699.731,16.113,29.785,12.207,47.363,-7.324,0
1578178699.735,-3.418,30.762,31.250,58.105,44.922,0
1578178699.739,10.254,40.039,11.719,62.988,-5.859,0
1578178699.743,15.137,36.133,8.789,45.898,5.371,0
1578178699.746,5.859,17.090,-7.812,46.875,74.219,0
1578178699.750,-19.531,15.137,5.371,38.086,37.109,0
1578178699.754,-16.113,14.160,35.156,35.645,61.035,0
1578178699.758,7.812,0.977,0.488,37.109,39.551,0
1578178699.762,-6.836,0.977,-4.395,40.039,34.180,0
1578178699.764,-36.621,5.859,14.648,43.457,-15.625,0
1578178699.768,-30.273,13.672,23.926,42.969,2.441,0
1578178699.772,15.137,17.090,-0.488,52.246,47.363,0
1578178699.776,19.531,14.160,-17.090,43.945,15.137,0
1578178699.780,-1.465,15.625,6.348,46.387,37.598,0
1578178699.784,2.441,19.531,4.395,51.270,71.289,0
1578178699.788,20.996,23.438,-23.438,50.781,46.387,0
1578178699.791,29.297,18.555,-17.090,39.551,59.082,0
1578178699.795,2.930,20.508,20.508,43.457,85.449,0
1578178699.799,-17.578,21.484,22.461,45.410,40.527,0
1578178699.803,11.230,19.531,10.742,49.316,73.730,0
1578178699.807,35.645,25.391,5.371,57.617,64.941,0
1578178699.809,2.930,28.809,8.301,60.059,6.836,0
1578178699.813,-29.785,28.809,9.766,61.035,34.668,0
1578178699.817,-6.348,23.926,0.977,47.363,32.715,0
1578178699.821,26.855,25.391,-4.395,56.641,15.137,0
