timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0
1578177451.777,18.066,13.184,19.531,45.410,15.137,0
1578177451.794,11.719,25.879,14.648,48.340,46.875,0
1578177451.798,3.906,20.020,13.672,51.758,39.062,0
1578177451.802,15.137,3.418,16.113,53.223,-50.781,0
1578177451.806,5.859,-0.977,24.902,52.734,-20.996,0
1578177451.810,3.906,7.324,11.230,59.082,38.574,0
1578177451.814,4.883,14.160,-12.207,54.688,-25.391,0
1578177451.818,5.371,9.766,-4.883,40.527,-77.637,0
1578177451.821,9.766,11.230,16.113,41.504,-26.855,0
1578177451.825,31.738,22.949,6.348,52.246,22.461,0
1578177451.829,38.086,16.602,-15.625,46.875,1.953,0
1578177451.833,12.695,8.789,21.973,50.293,14.160,0
1578177451.837,1.953,27.344,47.852,63.965,5.371,0
1578177451.839,-5.371,23.438,1.465,59.082,-42.969,0
1578177451.843,-0.977,12.695,-17.578,49.316,-25.879,0
1578177451.847,7.812,5.371,8.301,41.504,21.973,0
1578177451.851,14.648,10.254,28.320,62.500,-32.715,0
1578177451.855,15.625,24.902,18.555,68.359,-37.109,0
1578177451.859,-3.906,17.578,-5.859,31.738,47.363,0
1578177451.863,-1.953,4.883,4.395,25.391,55.176,0
1578177451.866,-2.441,3.906,22.461,35.645,-19.531,0
1578177451.870,-12.207,12.695,3.418,34.668,-63.965,0
1578177451.874,-4.883,19.043,-0.977,32.715,31.738,0
1578177451.878,-6.348,26.367,23.438,39.551,35.156,0
1578177451.882,-9.277,24.414,20.508,41.016,-13.672,0
1578177451.885,6.348,7.812,9.766,37.598,-28.320,0
1578177451.889,14.160,6.836,9.277,33.691,6.836,0
1578177451.893,3.906,-1.953,4.883,29.785,-8.301,0
1578177451.897,-2.930,-1.465,17.578,36.133,-52.734,0
1578177451.901,11.719,30.273,29.785,47.363,0.977,0
1578177451.905,-0.977,20.508,7.324,42.969,12.207,0
1578177451.909,-20.020,0.977,-6.348,37.598,-29.785,0
1578177451.912,-9.277,15.137,12.695,41.016,-36.621,0
1578177451.916,1.465,24.902,15.137,42.480,19.043,0
1578177451.920,6.836,24.902,16.113,46.875,7.324,0
1578177451.924,2.441,19.043,12.695,50.781,-28.809,0
1578177451.928,0.488,19.531,10.254,55.664,-2.930,0
1578177451.929,8.789,29.297,31.738,61.523,2.441,0
1578177451.933,10.742,18.555,33.203,50.293,37.109,0
1578177451.937,5.371,3.418,12.695,45.898,8.301,0
1578177451.941,16.602,14.648,14.648,51.270,5.859,0
1578177451.945,26.855,36.621,40.039,63.965,32.227,0
1578177451.949,19.531,32.715,43.457,67.871,7.324,0
1578177451.953,0.977,7.324,21.484,50.293,24.902,0
1578177451.956,-1.953,8.301,2.930,36.133,41.992,0
1578177451.960,2.930,16.113,26.855,36.621,60.547,0
1578177451.964,0.977,22.461,57.617,46.875,62.500,0
1578177451.968,4.883,22.949,32.715,48.340,55.664,0
1578177451.972,2.441,14.648,12.695,47.363,39.062,0
1578177451.974,13.672,6.836,29.297,52.734,20.996,0
1578177451.978,28.320,6.836,53.711,56.152,-5.371,0
1578177451.982,32.715,15.625,39.062,54.199,-43.457,0
1578177451.986,8.301,13.184,24.414,47.852,-4.395,0
1578177451.990,-5.371,5.371,32.715,49.805,32.227,0
1578177451.994,4.883,8.789,34.180,50.293,25.391,0
1578177451.998,-4.883,10.254,32.715,42.480,28.320,0
1578177452.001,-2.441,11.719,0.977,39.551,0.977,0
1578177452.005,14.648,14.648,0.488,36.133,-0.977,0
1578177452.009,15.625,19.043,36.621,40.527,-18.066,0
1578177452.013,4.395,17.090,27.832,39.062,-16.602,0
1578177452.017,3.418,10.254,11.230,43.945,14.648,0
1578177452.019,-7.812,11.230,14.160,47.852,13.184,0
1578177452.023,-10.254,25.879,28.320,45.410,30.273,0
1578177452.027,0.977,21.484,15.625,40.527,-12.695,0
1578177452.031,4.883,14.160,5.859,37.109,-31.738,0
1578177452.035,15.137,28.320,15.625,45.410,6.836,0
1578177452.039,7.324,21.484,6.348,41.992,55.664,0
1578177452.043,-6.836,7.324,10.254,31.250,150.879,0
1578177452.046,-3.418,16.602,17.090,31.738,204.590,0
1578177452.050,10.254,24.414,17.090,45.898,46.387,0
1578177452.054,20.020,22.461,16.602,56.152,-34.668,0
1578177452.058,19.531,22.949,30.762,58.594,39.551,0
1578177452.062,28.320,19.531,35.645,64.941,3.906,0
1578177452.064,15.137,18.066,9.277,52.246,-58.594,0
1578177452.068,-11.230,20.508,-1.465,43.945,-44.434,0
1578177452.072,4.883,32.227,31.250,56.152,43.457,0
1578177452.076,25.391,39.551,53.223,62.500,61.523,0
1578177452.080,7.324,19.531,25.879,52.734,-13.672,0
1578177452.084,-3.418,6.836,3.418,41.992,-50.293,0
1578177452.088,6.348,12.207,4.395,40.039,50.293,0
1578177452.091,9.766,16.602,25.391,41.504,81.055,0
1578177452.095,14.160,21.484,44.434,54.199,69.336,0
1578177452.099,21.484,14.160,29.297,64.453,99.121,0
1578177452.103,10.742,11.230,38.574,57.617,171.387,0
1578177452.107,-5.859,18.066,51.270,52.734,130.371,0
1578177452.109,4.395,16.602,46.387,45.410,68.848,0
1578177452.113,17.090,16.602,19.043,38.574,61.035,0
1578177452.117,11.719,20.996,19.043,51.270,52.734,0
1578177452.121,-1.953,10.742,41.016,53.223,64.453,0
1578177452.125,-12.695,2.441,31.250,47.363,5.859,0
1578177452.129,-7.812,21.973,11.230,55.176,21.484,0
1578177452.133,10.254,31.738,13.672,50.293,121.582,0
1578177452.136,13.184,17.578,48.340,50.293,89.355,0
1578177452.140,14.160,24.902,45.410,60.547,1.953,0
1578177452.144,16.113,31.738,20.508,60.547,-20.996,0
1578177452.148,19.531,33.203,18.555,54.199,-51.270,0
1578177452.152,7.324,30.762,23.926,48.340,-53.223,0
1578177452.169,-11.230,13.672,30.762,47.363,-0.977,0
1578177452.173,11.719,17.578,29.785,63.965,-41.504,0
1578177452.177,36.133,28.320,28.809,72.754,-53.711,0
1578177452.181,9.277,19.531,24.414,55.176,-23.926,0
1578177452.185,-3.418,22.949,19.043,39.062,11.230,0
1578177452.189,12.207,36.133,10.254,45.410,38.086,0
1578177452.193,20.996,20.508,7.812,50.781,2.930,0
1578177452.196,10.742,18.555,16.113,42.969,-16.113,0
1578177452.200,3.906,25.391,29.297,54.688,-42.480,0
1578177452.204,7.324,23.926,21.973,50.781,-5.859,0
1578177452.208,6.348,21.484,22.949,42.969,0.000,0
1578177452.212,11.719,8.789,26.367,48.340,9.766,2
1578177452.214,11.230,13.184,10.254,52.734,7.324,0
1578177452.218,17.578,22.949,26.855,63.477,34.180,0
1578177452.222,27.344,40.527,37.109,67.383,6.348,0
1578177452.226,13.672,37.109,23.438,59.570,-55.664,0
1578177452.230,-2.930,2.441,13.672,47.852,20.020,0
1578177452.234,-8.301,0.977,18.066,50.781,39.062,0
1578177452.238,-11.719,0.977,26.367,41.016,36.621,0
1578177452.241,-13.184,6.348,19.043,35.156,-6.836,0
1578177452.245,5.371,24.414,17.090,52.246,33.203,0
1578177452.249,6.836,20.508,27.344,41.016,138.184,0
1578177452.253,-0.488,14.160,36.621,35.645,120.605,0
1578177452.257,13.672,16.602,19.043,51.270,85.449,0
1578177452.259,21.484,16.113,5.371,55.176,55.664,0
1578177452.263,19.531,14.160,25.391,48.340,82.031,0
1578177452.267,18.066,14.160,33.691,48.340,72.266,0
1578177452.271,16.602,8.789,14.160,53.711,21.484,0
1578177452.275,12.695,0.977,19.043,58.105,75.195,0
1578177452.279,10.254,25.879,29.785,62.988,127.441,0
1578177452.283,-6.836,36.133,26.367,43.945,88.379,0
1578177452.286,-20.508,20.508,10.742,29.297,88.867,0
1578177452.290,-11.719,23.438,-18.555,36.621,132.812,0
1578177452.294,0.488,17.578,11.230,45.898,128.906,0
1578177452.298,17.090,15.137,38.574,47.363,40.527,0
1578177452.302,16.602,17.090,9.766,34.668,-2.930,0
1578177452.304,7.324,15.137,-3.418,39.551,49.805,0
1578177452.308,10.254,25.391,10.742,42.969,31.738,0
1578177452.312,10.254,43.945,31.738,46.875,52.246,0
1578177452.316,1.465,46.387,19.043,52.734,74.219,0
1578177452.320,-7.324,21.973,-8.789,41.992,52.734,0
1578177452.324,-3.906,16.602,-14.648,32.715,21.973,0
1578177452.328,-4.883,19.043,7.812,44.434,69.824,0
1578177452.331,1.953,11.719,6.836,46.875,78.613,0
1578177452.335,13.184,11.719,-9.766,36.133,33.691,0
1578177452.339,10.254,15.137,12.207,41.504,93.262,0
1578177452.343,10.254,17.090,24.902,48.340,78.125,0
1578177452.347,20.020,27.344,33.691,55.664,43.945,0
1578177452.349,26.367,21.973,27.344,55.664,81.055,0
1578177452.353,16.602,10.254,14.648,50.293,59.570,0
