timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0
1578267602.754,35.156,20.508,93.750,64.941,-26.855,0
1578267602.758,22.949,7.324,72.754,74.219,85.449,0
1578267602.760,22.949,-8.789,36.133,60.547,41.992,0
1578267602.764,15.625,-1.953,22.949,57.617,-81.543,0
1578267602.768,35.645,10.742,58.594,70.312,-50.781,0
1578267602.772,53.711,11.230,84.961,79.590,62.988,0
1578267602.776,39.062,3.906,44.922,67.871,30.273,0
1578267602.780,20.996,-2.930,18.066,54.688,-70.801,0
1578267602.784,19.531,-0.488,41.504,61.035,-93.262,0
1578267602.787,37.109,5.859,56.152,86.426,2.930,0
1578267602.791,32.227,8.301,58.105,69.824,69.824,0
1578267602.795,19.531,-2.441,55.664,24.414,-29.785,0
1578267602.799,24.414,-8.301,41.504,39.551,-135.254,0
1578267602.803,19.043,0.977,58.594,56.152,-42.480,0
1578267602.805,34.180,5.859,74.219,62.988,57.129,0
1578267602.809,50.781,0.977,46.387,59.570,-8.301,0
1578267602.813,13.672,-12.207,14.160,47.363,-93.750,0
1578267602.817,24.902,-8.301,44.434,64.453,-21.484,0
1578267602.821,40.527,-4.395,62.500,73.730,90.332,0
1578267602.825,21.484,-9.766,26.367,57.129,60.059,0
1578267602.829,22.461,0.000,11.719,53.711,-61.035,0
1578267602.832,10.742,-1.465,19.531,43.945,-54.688,0
1578267602.836,4.883,3.906,45.410,33.203,76.660,0
1578267602.840,20.996,4.395,35.156,52.734,35.156,0
1578267602.844,44.434,-2.930,16.113,60.059,-104.492,0
1578267602.848,19.531,13.184,38.086,62.500,-73.242,0
1578267602.850,11.230,27.832,58.105,71.289,30.762,0
1578267602.854,26.367,17.090,48.340,53.223,64.453,0
1578267602.858,1.465,-4.883,17.578,38.086,-29.785,0
1578267602.862,-10.742,-5.371,16.602,27.832,-112.305,0
1578267602.866,-0.977,16.602,41.504,38.574,-14.160,0
1578267602.870,14.648,26.367,47.852,76.172,98.145,0
1578267602.874,43.945,12.207,31.250,81.543,40.039,0
1578267602.877,22.461,2.930,35.156,52.246,-56.152,0
1578267602.881,-14.648,20.508,83.984,41.992,-12.695,0
1578267602.885,-7.812,17.090,69.336,45.898,61.523,0
1578267602.889,-2.930,1.465,42.969,44.434,28.809,0
1578267602.893,21.973,7.812,41.504,42.969,-45.898,0
1578267602.895,24.414,29.785,45.898,65.430,-36.621,0
1578267602.899,-0.488,42.969,70.312,78.125,70.801,0
1578267602.903,-1.953,39.551,56.152,38.086,69.824,0
1578267602.907,-5.371,49.316,47.363,9.277,-43.945,0
1578267602.911,19.043,67.383,56.641,32.227,-75.195,0
1578267602.915,26.855,71.289,66.406,56.152,29.785,0
1578267602.919,4.883,57.129,52.246,58.105,95.703,0
1578267602.922,11.719,63.477,44.434,43.457,-12.207,0
1578267602.926,13.184,85.449,64.453,47.852,-106.934,0
1578267602.930,12.695,76.660,61.523,54.688,-31.250,0
1578267602.934,15.137,60.547,65.430,48.828,70.801,0
1578267602.938,19.043,57.129,55.664,43.945,26.367,0
1578267602.955,16.602,62.988,39.551,43.457,-71.289,0
1578267602.959,9.766,66.895,64.941,49.316,-19.043,0
1578267602.963,20.020,55.664,81.543,57.617,92.285,0
1578267602.967,21.484,54.688,79.590,69.336,73.242,0
1578267602.971,7.324,55.664,48.340,50.781,-48.828,0
1578267602.975,-1.465,41.504,9.277,37.109,-102.051,0
1578267602.979,19.043,55.176,49.805,41.992,6.348,0
1578267602.982,35.645,69.336,71.777,48.828,62.500,0
1578267602.986,12.695,57.129,33.691,41.016,-50.293,0
1578267602.990,18.555,43.945,23.926,23.926,-106.934,0
1578267602.994,29.297,56.152,71.289,48.340,-8.301,0
1578267602.998,14.160,61.035,95.703,75.195,42.480,0
1578267603.000,10.254,36.621,64.453,55.176,-12.695,0
1578267603.004,19.531,35.645,62.012,44.434,-80.566,0
1578267603.008,23.438,52.246,79.102,64.453,-41.504,0
1578267603.012,13.672,53.711,85.938,70.801,60.059,0
1578267603.016,10.254,36.133,52.734,59.082,35.645,0
1578267603.020,16.602,37.109,26.855,44.922,-83.984,0
1578267603.024,15.625,62.988,67.383,64.453,-54.199,0
1578267603.027,15.137,62.500,91.797,67.383,71.289,0
1578267603.031,6.348,39.062,37.109,34.668,30.762,0
1578267603.035,15.625,40.039,-0.977,37.598,-83.984,0
1578267603.039,41.992,75.195,57.617,62.988,-91.309,0
1578267603.043,31.250,91.797,103.516,75.684,-18.066,0
1578267603.045,17.578,77.148,70.801,72.266,30.273,0
1578267603.049,18.066,62.012,44.434,60.547,-55.664,0
1578267603.053,24.902,71.777,62.988,45.898,-100.586,0
1578267603.057,27.344,75.195,81.055,67.871,-3.906,0
1578267603.061,21.973,66.406,69.336,75.684,53.711,0
1578267603.065,38.086,47.363,41.504,55.664,-13.184,0
1578267603.069,18.555,36.133,56.152,42.480,-79.102,0
1578267603.072,3.418,47.852,88.379,43.457,-12.207,0
1578267603.076,23.926,36.133,69.824,56.152,64.941,0
1578267603.080,42.480,25.391,57.617,49.316,18.555,0
1578267603.084,29.297,39.062,72.754,45.410,-84.473,0
1578267603.088,1.953,32.715,71.289,54.688,-66.895,0
1578267603.090,-1.953,28.320,82.520,58.594,62.012,0
1578267603.094,9.766,27.832,76.660,51.270,67.383,0
1578267603.098,8.301,13.184,56.152,46.387,-64.941,0
1578267603.102,22.949,17.578,56.641,52.734,-89.355,0
1578267603.106,30.273,31.250,67.871,53.711,30.273,0
1578267603.110,8.301,23.438,51.270,38.574,80.078,0
1578267603.114,20.508,16.113,43.945,29.297,-19.043,0
1578267603.117,22.461,7.812,53.711,29.785,-105.957,0
1578267603.121,25.879,30.273,75.684,43.457,-27.832,0
1578267603.125,8.301,41.992,95.215,48.340,99.121,0
